,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
328,329,300833,浩洋股份,35.5,3.2,1.1,28685.0,101862796.62,6.77,36.54,34.21,34.4,34.4,2.87,3.53,21.08,1.94,4490412750.0,2884732627.0,0.06,0.23,-11.52,-19.59
329,330,300210,森远股份,10.97,3.2,0.34,205821.0,223568769.0,3.76,11.0,10.6,10.67,10.63,1.21,4.25,160.22,12.88,5311892884.0,5306441442.0,0.09,0.37,6.4,7.13
330,331,603070,万控智造,13.29,3.18,0.41,66449.0,87366226.0,4.43,13.35,12.78,12.78,12.88,1.57,1.68,143.53,2.53,5329290000.0,5255090707.0,0.08,0.08,-11.46,1.61
331,332,688199,久日新材,18.85,3.17,0.58,48575.0,91325454.0,5.97,19.19,18.1,18.25,18.27,1.43,3.01,-72.19,1.19,3039133681.0,3039133681.0,0.11,-0.05,0.21,25.25
332,333,600426,华鲁恒升,21.9,3.16,0.67,276447.0,603317492.0,3.44,21.97,21.24,21.24,21.23,2.18,1.3,16.45,1.47,46498517956.0,46409966511.0,0.05,-0.09,5.9,1.34
333,334,600490,鹏欣资源,4.59,3.15,0.14,1028909.0,469621468.0,4.72,4.65,4.44,4.44,4.45,1.52,5.16,23.56,1.64,10157151693.0,9146132162.0,0.0,0.22,34.6,39.51
334,335,301303,真兰仪表,14.09,3.15,0.43,46013.0,64319908.4,4.03,14.15,13.6,13.78,13.66,3.25,4.53,20.36,1.79,5759992000.0,1431258720.0,-0.07,-0.28,2.62,-6.5
335,336,835305,*ST云创,12.2,3.13,0.37,64616.0,78519174.16,8.37,12.68,11.69,11.73,11.83,1.73,7.97,-53.19,2.59,1614988725.0,989430675.0,0.08,-0.33,-68.2,-39.93
336,337,835184,国源科技,15.18,3.13,0.46,63299.0,95907666.17,5.3,15.55,14.77,14.9,14.72,2.55,7.22,273.82,3.33,2023494000.0,1331646297.0,-0.13,-0.2,-5.3,40.56
337,338,600052,东望时代,4.3,3.12,0.13,70152.0,29495098.0,4.32,4.3,4.12,4.17,4.17,1.29,0.83,-882.16,1.43,3630037386.0,3630037386.0,1.42,1.65,-5.7,-4.87
