,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
365,366,6G概念,BK0964,1360.74,-7.18,-0.52,494224368000,3.44,9,19,国脉科技,3.78
366,367,工业母机,BK1004,1552.3,-8.43,-0.54,1250053712000,1.95,30,49,联赢激光,3.83
367,368,虚拟数字人,BK1055,1196.86,-6.62,-0.55,3539935584000,3.37,30,53,二六三,10.05
368,369,华为欧拉,BK1013,1504.45,-8.53,-0.56,289275648000,5.21,7,10,景嘉微,4.5
369,370,PEEK材料概念,BK1156,1320.02,-7.63,-0.57,301926944000,2.04,8,18,超捷股份,2.79
370,371,冷链物流,BK0852,1834.09,-10.79,-0.58,1537078192000,2.01,35,69,罗 牛 山,8.36
371,372,短剧互动游戏,BK1151,1126.95,-6.6,-0.58,377733744000,2.37,7,22,创维数字,5.34
372,373,熔盐储能,BK1103,923.4,-5.48,-0.59,74725476000,1.71,5,3,迪尔化工,1.74
373,374,特斯拉,BK0644,5031.27,-29.61,-0.59,4453979648000,1.77,63,137,法本信息,3.66
374,375,沪企改革,BK0672,2583.29,-15.24,-0.59,917406336000,0.86,14,25,亚通股份,3.87
375,376,元宇宙概念,BK1009,2038.33,-12.04,-0.59,4549695488000,2.99,44,94,二六三,10.05
376,377,机器人概念,BK1090,1674.36,-9.95,-0.59,6476721664000,2.21,169,338,青岛双星,10.0
377,378,婴童概念,BK0664,1626.75,-9.81,-0.6,1242954688000,3.09,50,89,新华锦,9.98
378,379,空间站概念,BK0994,1555.73,-9.6,-0.61,195869954000,2.67,4,16,北化股份,1.16
379,380,新型工业化,BK1150,1198.89,-7.53,-0.62,1511529552000,2.08,24,65,剑桥科技,7.84
380,381,Web3.0,BK1110,1706.42,-10.62,-0.62,447205232000,4.48,13,33,二六三,10.05
381,382,AIGC概念,BK1111,1885.84,-11.74,-0.62,1867494352000,3.1,35,78,中电鑫龙,9.96
